,lat,lon,id,slope
0,46.726906,13.787332000000001,1069,22.012
1,49.726406,-116.91183400000001,1855,34.101
2,18.5347,-72.4097,797,25.38
3,4.421429046,-75.22070904,12967,29.537
4,39.2902,-76.6651,13089,0.0
5,36.2629,-115.6158,9036,4.063
6,4.44059512,-75.24390515,7990,30.007
7,15.5227,-85.265,3954,12.026
8,42.3946,-122.2137,2288,13.668
9,36.9933,-122.0206,13419,7.014
10,32.913462100000004,-107.7735894,5865,0.853
11,20.8939,-156.6464,10892,0.0
12,43.6609,-123.3327,11940,22.175
13,44.4305,-118.1417,8746,11.203
14,43.4756,-110.7826,12993,9.15
15,40.1625,-123.7874,8110,1.595
16,38.499,-80.7205,7964,12.562
17,37.336,-83.1295,12732,21.632
18,48.736721,-122.35906200000001,3365,23.914
19,45.88,-118.9662,5092,22.002
20,45.6721,-121.87700000000001,4140,4.727
21,54.8366,-2.7812,6425,0.0
22,-41.1212,146.1066,10633,0.0
23,30.0075,31.2774,4716,12.823
24,45.2252,-122.3394,6041,18.61
25,47.488,-122.3633,9835,25.606
26,44.8746,-123.9314,7193,24.796
27,4.440595101,-75.24940516,12958,29.888
28,42.9171,-124.1018,9009,21.375
29,6.8586,37.7542,3533,12.46
30,46.0539,9.4192,12356,29.621
31,35.462503600000005,-120.67602450000001,1056,0.763
32,50.075462,-119.418007,11715,15.177
33,-22.9153,-43.0715,1290,15.648
34,45.69210045,-73.61728272,5630,1.906
35,10.1981,-84.0074,7167,27.038
36,44.98061086,-107.6499644,6889,4.95
37,42.2395,-124.3642,2415,19.346
38,-0.7133,37.051,12190,3.622
39,43.1925,-75.021,2627,5.714
40,-22.410999999999998,-43.0304,13270,23.4
41,37.4067,-82.4382,11527,21.877
42,4.37749526,-75.17500481,8779,25.881
43,40.8319699,73.53346121,3391,16.779
44,45.9953,-122.8771,10091,24.387
45,-18.5333,47.3167,11371,16.413
46,-41.23655207,174.80672130000002,4386,0.0
47,35.2594,-82.7102,7503,6.424
48,34.8813,-118.8962,936,2.992
49,43.0235,76.8515,9499,29.653
50,45.5297,-122.3712,2071,12.129
51,36.27,-121.8076,7963,0.686
52,34.2074,-118.1258,8117,26.176
53,41.7649,73.1415,13248,4.649
54,34.148,-117.8406,8325,8.885
55,-35.81663241,173.7165281,5862,0.0
56,-37.1577,175.6348,11947,14.594
57,52.9566,-6.0935,7709,0.0
58,44.623999999999995,-123.5552,8741,22.71
59,2.7664,-75.0741,2875,31.779
60,40.168849,-79.851127,8573,6.091
61,-4.138,-79.4069,2049,11.034
62,11.2084,-60.7582,11349,-1.0
63,-0.48700000000000004,30.1695,4944,12.854
64,34.2413,-118.2208,10861,28.645
65,-17.6195,177.7137,3953,0.0
66,47.05678021,8.10313411,12538,14.441
67,49.92629473,6.066259499,8587,18.175
68,56.2265,-4.8568,1638,3.434
69,36.7545,-3.9515,5298,1.155
70,4.44059512,-75.24390515,12960,30.007
71,52.266999999999996,-7.1194,9031,1.956
72,18.77238406,-72.51296040000001,6845,23.394
73,45.5701,-123.9425,7997,30.169
74,47.836412,-122.34490600000001,1852,20.023
75,40.4171,49.7973,3739,6.728
76,38.0455,-120.3454,11376,27.488
77,40.6378,14.6074,5253,31.115
78,43.6515,-123.6607,4381,21.102
79,44.1388,18.1252,13421,15.737
80,40.04389738,71.73182497,7736,24.615
81,9.6563,-84.0236,10096,25.791
82,13.8491,-61.0656,11978,21.528
83,5.5002,-73.4832,13277,34.044
84,40.4319,-80.0061,2620,11.795
85,47.7367,-121.0207,1899,28.533
86,40.2938,-111.6581,5405,5.678
87,47.98711593,14.74460768,11712,13.777
88,47.33361392,13.24952061,5637,22.203
89,7.6213,-72.9303,13045,1.913
90,45.8168,-73.9024,8128,4.949
91,41.9953,-73.2068,13283,9.67
92,39.20099639,-120.8095385,1051,14.21
93,42.7845,26.945,4523,14.165
94,38.7763,-120.5737,10634,22.822
95,45.333999999999996,-122.5794,1263,18.138
96,44.7829,-122.6175,9832,15.873
97,18.5135,-72.2853,6046,2.862
98,47.91,-122.3209,12163,25.692
99,43.3047,-122.5128,10250,9.228
100,-0.5487,37.0498,1607,25.251
101,39.5667,2.65,4375,3.012
102,47.79575909,-122.3915429,12507,38.328
103,40.904,-73.9141,10062,0.0
104,38.1077,-81.4493,4147,14.774
105,45.6895,-123.9123,336,20.785
106,4.449995102,-75.25310520000001,8777,29.957
107,39.4977,-107.2225,4986,21.952
108,54.4884,-0.5974,11971,-1.0
109,-2.508,28.848000000000003,5068,25.657
110,50.77647805,-119.17444259999999,2843,19.831
111,48.1393,-122.6011,3991,30.006
112,39.8839,-105.3033,8545,2.545
113,44.4573,18.673,7169,3.296
114,52.6514,-2.4971,7955,1.679
115,4.44059512,-75.24390515,12956,30.007
116,44.102005,-122.236502,6873,23.704
117,-13.8158,-70.2659,9235,4.732
118,36.21772147,-121.7508007,1058,2.846
119,4.44059512,-75.24390515,8783,30.007
120,-2.9591,-79.6754,4972,27.615
121,42.6629,-122.7386,11985,6.266
122,33.0681,-116.7469,3965,4.689
123,39.7153,-111.76899999999999,3159,25.562
124,46.29694459,9.595744348,1093,39.545
125,-22.9149,-43.1109,5433,15.437
126,0.0515,34.7225,2616,9.35
127,51.8065,-3.1998,6084,4.99
128,46.2428,-119.1009,2424,4.878
129,46.7517,-121.9412,13073,11.298
130,19.36663239,-155.1943345,11724,0.0
131,49.8063,-95.2098,5601,4.782
132,39.0978,-84.5604,7532,7.054
133,-1.2355,29.9832,2040,14.465
134,4.415513111,-75.24042009,11340,29.035
135,-3.9739999999999998,30.046999999999997,11172,21.239
136,44.2136,8.4163,7700,18.294
137,46.1906,7.4086,2272,26.08
138,10.6738,-61.5006,8748,0.0
139,45.5664,-123.1063,6414,3.06
140,35.62608133,-82.52516919,12531,4.94
141,53.3319,-132.4149,10266,0.0
142,6.5014,4.7797,1631,4.022
143,49.52648458,-120.521235,11186,24.964
144,43.0004,-123.7172,1403,16.908
145,40.3647,-79.8666,10054,16.464
146,41.7757,-78.5023,10868,15.049
147,35.5008,-93.6821,6626,9.276
148,48.5346,-121.7306,2286,18.99
149,36.11129987,-120.3895855,7390,0.522
150,40.767431,-123.08468429999999,3730,14.345
151,44.7573,-122.4893,6070,15.346
152,-41.5681,145.5991,12155,0.0
153,37.4598,-82.6605,3502,19.521
154,41.8601,24.4277,9038,23.927
155,-27.5685,151.9941,10602,5.986
156,37.775,-83.6772,4727,21.541
157,34.453,-119.65299999999999,3962,18.173
158,49.6302922,-117.53730359999999,12509,24.94
159,4.44059512,-75.24390515,8784,30.007
160,45.6207,-121.6091,4975,7.885
161,38.5063,-82.2986,4149,13.611
162,-32.8091,149.8098,11982,11.209
163,13.901105,-60.969451,12951,0.0
164,45.2065,-123.8898,6048,15.329
165,20.223147,-155.767994,6874,-1.0
166,14.6167,-90.6097,9000,27.676
167,36.9118,-92.0833,8314,3.168
168,4.406000935,-75.22777694,5639,28.385
169,-8.6974,160.8362,8126,0.0
170,42.213,-120.1115,12199,22.251
171,50.2722,-4.7891,7952,0.0
172,43.45091955,-73.3260807,11378,10.28
173,49.57167719,-121.4039357,2844,13.255
174,57.61600000000001,-4.69,3996,2.983
175,-1.6649,29.8353,2078,1.319
176,45.6372,-123.2668,9490,2.583
177,44.4066,-123.8917,8542,26.165
178,8.787,-82.344,7738,30.41
179,42.95491382,44.21141438,8770,32.252
180,50.0222117,6.5788623610000005,4981,13.257
181,37.9472,41.5061,11976,5.697
182,50.3859,-4.7497,3505,0.0
183,10.4548,-84.8751,7999,0.0
184,21.3684,-157.7892,1252,0.0
185,18.2031,-77.0428,10437,20.101
186,37.61662149,-122.4852077,1060,16.122
187,47.2943,12.9525,4512,23.29
188,-1.754,29.801,11181,0.0
189,34.1407,-117.1935,10053,24.165
190,44.9771,-123.8848,1404,20.03
191,37.9768,-122.54700000000001,4176,1.17
192,44.8452,-120.8982,6621,14.138
193,34.175,-118.0451,2281,25.108
194,45.0979,-123.7664,9669,22.148
195,37.0273,-121.8202,6413,0.871
196,48.23274156,8.399965182999999,8589,17.965
197,35.1765,-83.2458,1636,15.294
198,-2.529,28.857,11175,27.378
199,43.433,-123.5684,11949,26.522
200,0.0487,37.6538,4182,9.562
201,47.946000000000005,-122.3049,13410,26.095
202,43.5411,-111.2683,2047,10.4
203,43.66465662,-107.7583545,3195,6.679
204,0.0277,34.7841,11347,13.483
205,39.5828,-111.1921,10295,3.797
206,37.4264,-82.4939,5262,21.676
207,37.4892,-83.3601,6083,19.817
208,43.2878,-122.5804,8119,7.16
209,45.5872,-122.7739,13074,12.385
210,7.139199418,-75.65887248,11723,18.843
211,35.2865,-85.1789,5606,9.397
212,51.4216,0.8546,1094,3.304
213,-44.0582,169.3808,11511,36.264
214,37.022,-122.0604,7363,15.817
215,57.0956,-2.2728,12394,0.0
216,45.4941,-73.5674,1808,2.773
217,-2.714873,29.242527000000003,5494,4.838
218,42.3069,-124.4101,4546,15.225
219,48.2847,-121.8495,4774,19.464
220,37.73075352,-119.7564456,10651,27.533
221,35.078,-82.80799999999999,2483,3.198
222,1.8509,34.8863,8985,1.874
223,45.5598,-123.8924,6023,26.84
224,37.3963,-122.26,3135,19.891
225,-0.6549,-78.874,6447,26.13
226,39.90752824,-123.74952179999998,3909,1.626
227,37.2537,-83.1872,6675,21.107
228,45.5298,-122.3712,4122,12.129
229,32.8273,-116.8487,1450,0.727
230,-27.513632,-70.287733,10007,5.139
231,50.6723,-1.55,5236,0.0
232,46.1155,-123.3271,13444,18.46
233,38.2072,15.4306,8529,19.396
234,12.3535,-84.8095,7561,0.0
235,43.2988,-122.8778,6681,5.627
236,49.31947768,-117.6696041,5004,23.052
237,14.7038,-91.0873,3797,23.651
238,20.875595699999998,-156.1869577,5460,0.0
239,45.8859,-118.9699,11545,22.381
240,17.3165,-62.7955,4780,0.0
241,-20.4337,-40.4598,2477,0.0
242,39.0189,-84.4536,13020,4.764
243,35.98028292,-121.48966979999999,10804,14.678
244,44.4217,-121.8785,4921,10.422
245,40.1793,-83.1777,3338,1.75
246,32.0823,34.9364,3936,4.385
247,47.2207,-122.25399999999999,12139,19.919
248,47.52,-72.7,9054,10.27
249,37.3486,-83.4771,12905,21.757
250,4.44059512,-75.24390515,4579,30.007
251,14.7161,-89.4096,9266,27.655
252,42.175,26.5736,7906,2.762
253,45.4079,-122.5369,2448,12.602
254,39.1647,-84.4271,9292,4.452
255,50.7463,-3.0325,7308,7.684
256,8.4418,-73.2665,11922,16.041
257,18.0761,-76.2914,5807,0.0
